Mario bestellingen

Let op! De vermelde prijzen zijn de prijzen ten tijde van de bestelling

Winkelnaam;Klantnaam;TelefoonNr;Email;Adres;Woonplaats;Besteldatum;AfleverType;AfleverDatum;AfleverMoment;Product;PizzaBodem;PizzaSaus;Prijs;Aantal;Extra Ingrediënten;Prijs Extra Ingrediënten;Regelprijs;Totaalprijs;Gebruikte Coupon;Coupon Korting;Te Betalen
Nootdorp;Saïd de Bondt;06-70896584;SaiddeBondt@einrot.com;Korte Hillestraat 31;Rotterdam;maandag 20 maart 2017;Afhalen;maandag 20 maart 2017;16:03;Four Cheese;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;2;;€ 0,00;€ 19,90;€ 27,85;€ 2,- Korting op een bestelling vanaf € 25,-;€ 2,00;€ 25,85
;;;;;;;;;;Veggi;Italian Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 7,95;;;;

Nijmegen;Dominggus Glimmerveen;06-94674870;DominggusGlimmerveen@rhyta.com;Molenstraat 30;Nijmegen;woensdag 22 februari 2017;Bezorgen;woensdag 22 februari 2017;18:14;Americana;Medium Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 13,90;€ 23,85;;€ 0,00;€ 23,85
;;;;;;;;;;Supreme;Medium Cheesy Crust Pizza;Barbecue Saus;€ 7,95;1;;€ 0,00;€ 9,95;;;;

Rotterdam Vuurplaat;Dex van Strien;06-58121143;DexvanStrien@jourrapide.com;Provenierssingel 175;Rotterdam;maandag 11 juni 2018;Bezorgen;maandag 11 juni 2018;17:08;Perfect Pepperoni;Family XXL Pizza;Tomatensaus;€ 4,95;2;;€ 0,00;€ 19,90;€ 28,85;;€ 0,00;€ 28,85
;;;;;;;;;;Four Cheese;Italian Pizza;Tomatensaus;€ 7,95;1;;€ 0,00;€ 8,95;;;;

Harderwijk;Freek Tsang;06-65019735;FreekTsang@gustr.com;Staverenmeen 121;Harderwijk;dinsdag 21 augustus 2018;Bezorgen;dinsdag 21 augustus 2018;19:16;Pollo Pomodore;Family XXL Pizza;Tomatensaus;€ 8,95;1;;€ 0,00;€ 13,95;€ 13,95;;€ 0,00;€ 13,95

Leiden;Jamahl Renders;06-61009558;JamahlRenders@gustr.com;Schoolmeesterpad 27;Leiden;vrijdag 20 oktober 2017;Afhalen;vrijdag 20 oktober 2017;16:10;Beenham;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 8,95;€ 8,95;;€ 0,00;€ 8,95

Spijkenisse;Folkert Ottink;06-94096932;FolkertOttink@superrito.com;A. van Bronckhorstlaan 180;Spijkenisse;dinsdag 12 november 2019;Afhalen;dinsdag 12 november 2019;18:32;Tricolore;Medium Pizza;Creme Fraiche;€ 8,95;2;;€ 0,00;€ 17,90;€ 83,60;25% korting op je bestelling;€ 20,90;€ 62,70
;;;;;;;;;;Perfect Pepperoni;Large Pizza;Tomatensaus;€ 4,95;2;;€ 0,00;€ 17,90;;;;
;;;;;;;;;;Hawaii;Large Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 21,90;;;;
;;;;;;;;;;Bacon Gorgonzola;Large Pizza;Tomatensaus;€ 8,95;2;;€ 0,00;€ 25,90;;;;

