Mario bestellingen

Let op! De vermelde prijzen zijn de prijzen ten tijde van de bestelling

Winkelnaam;Klantnaam;TelefoonNr;Email;Adres;Woonplaats;Besteldatum;AfleverType;AfleverDatum;AfleverMoment;Product;PizzaBodem;PizzaSaus;Prijs;Aantal;Extra Ingrediënten;Prijs Extra Ingrediënten;Regelprijs;Totaalprijs;Gebruikte Coupon;Coupon Korting;Te Betalen
Wageningen;Mirelle Schaefers;06-78806545;MirelleSchaefers@cuvox.de;Cort van der Lindenstraat 22;Wageningen;dinsdag 1 januari 2019;Afhalen;dinsdag 1 januari 2019;20:47;Funghi;Family XXL Pizza;Tomatensaus;€ 4,95;2;;€ 0,00;€ 19,90;€ 52,70;2e pizza gratis bij afhalen;€ 6,95;€ 45,75
;;;;;;;;;;Chicken Supreme;Italian Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 15,90;;;;
;;;;;;;;;;Margaritha;Medium Cheesy Crust Pizza;Tomatensaus;€ 4,95;1;;€ 0,00;€ 6,95;;;;
;;;;;;;;;;Perfect Pepperoni;Family XXL Pizza;Tomatensaus;€ 4,95;1;;€ 0,00;€ 9,95;;;;

Capelle a/d Yssel;Wendelien Bruining;06-99617112;WendelienBruining@superrito.com;Reviusrondeel 58;Capelle aan den IJssel;zondag 19 augustus 2018;Afhalen;zondag 19 augustus 2018;17:17;Bacon Gorgonzola;Large Pizza;Tomatensaus;€ 8,95;2;;€ 0,00;€ 25,90;€ 25,90;;€ 0,00;€ 25,90

Enschede West;Angelica Dudink;06-74719306;AngelicaDudink@jourrapide.com;Campelhofhoek 71;Enschede;zaterdag 23 juni 2018;Afhalen;zaterdag 23 juni 2018;20:55;Funghi;Large Pizza;Tomatensaus;€ 4,95;1;;€ 0,00;€ 8,95;€ 8,95;2e pizza gratis bij afhalen;€ 0,00;€ 8,95

Waalwijk;Hayriye Leung;06-21169803;HayriyeLeung@teleworm.us;Cartografenweg 137;Waalwijk;zaterdag 22 april 2017;Afhalen;zaterdag 22 april 2017;19:01;Four Cheese;Medium Pizza;Tomatensaus;€ 7,95;2;;€ 0,00;€ 15,90;€ 22,85;;€ 0,00;€ 22,85
;;;;;;;;;;Margaritha;Medium Cheesy Crust Pizza;Tomatensaus;€ 4,95;1;;€ 0,00;€ 6,95;;;;

De Meern;Clint Rombouts;06-51841094;ClintRombouts@jourrapide.com;Prior van Milstraat 62;Uden;donderdag 23 mei 2019;Afhalen;donderdag 23 mei 2019;17:05;Bacon Gorgonzola;Italian Pizza;Tomatensaus;€ 8,95;1;Groene Olijven, Tonijn;€ 2,50;€ 12,45;€ 12,45;;€ 0,00;€ 12,45

Alkmaar;Marick den Breejen;06-63620469;MarickdenBreejen@rhyta.com;Koggewaard 40;Alkmaar;zondag 16 december 2018;Bezorgen;zondag 16 december 2018;17:06;Chicken Supreme;Family XXL Pizza;Tomatensaus;€ 6,95;1;Beenham;€ 1,50;€ 13,45;€ 52,20;3e pizza gratis bij bezorgen;€ 8,95;€ 43,25
;;;;;;;;;;Hot & Spicy;Medium Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 6,95;;;;
;;;;;;;;;;Tricolore;Medium Pizza;Creme Fraiche;€ 8,95;2;;€ 0,00;€ 17,90;;;;
;;;;;;;;;;Veggi;Medium Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 13,90;;;;

